Deck no: 1 Colors: ['B', 'G', 'R', 'U', 'W'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 341 Colors: ['B', 'W', 'G', 'R', 'U'] Fitness: 10 No. Evasions: 7 No. Creatures: 25 No. Spells: 44 No. Bombs 2 No. Lands: 19
Deck no: 238 Colors: ['W', 'R', 'G', 'B', 'U'] Fitness: 8 No. Evasions: 11 No. Creatures: 60 No. Spells: 20 No. Bombs 1 No. Lands: 0
Deck no: 22 Colors: ['G', 'U', 'W', 'R', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 2 Colors: ['W', 'G', 'U', 'R', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 235 Colors: ['G', 'R', 'W', 'U'] Fitness: 9 No. Evasions: 14 No. Creatures: 24 No. Spells: 57 No. Bombs 2 No. Lands: 7
Deck no: 14 Colors: ['B', 'G', 'W', 'U', 'R'] Fitness: 7 No. Evasions: 9 No. Creatures: 38 No. Spells: 36 No. Bombs 4 No. Lands: 9
Deck no: 3 Colors: ['W', 'G', 'B', 'R', 'U'] Fitness: 7 No. Evasions: 8 No. Creatures: 38 No. Spells: 37 No. Bombs 4 No. Lands: 8
Deck no: 4 Colors: ['R', 'B', 'W', 'G', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 20 Colors: ['R', 'U', 'B', 'G', 'W'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 18 Colors: ['W', 'U', 'R', 'B', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 5 Colors: ['R', 'U', 'W', 'B', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 38 No. Spells: 36 No. Bombs 4 No. Lands: 9
Deck no: 11 Colors: ['B', 'R', 'G', 'U', 'W'] Fitness: 7 No. Evasions: 9 No. Creatures: 38 No. Spells: 36 No. Bombs 3 No. Lands: 10
Deck no: 23 Colors: ['B', 'W', 'G', 'R', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 307 Colors: ['R', 'G', 'W', 'U', 'B'] Fitness: 11 No. Evasions: 18 No. Creatures: 42 No. Spells: 39 No. Bombs 2 No. Lands: 0
Deck no: 10 Colors: ['B', 'U', 'G', 'W', 'R'] Fitness: 7 No. Evasions: 9 No. Creatures: 38 No. Spells: 36 No. Bombs 4 No. Lands: 9
Deck no: 9 Colors: ['U', 'R', 'B', 'G', 'W'] Fitness: 7 No. Evasions: 10 No. Creatures: 37 No. Spells: 37 No. Bombs 3 No. Lands: 10
Deck no: 17 Colors: ['W', 'R', 'U', 'B', 'G'] Fitness: 7 No. Evasions: 8 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 15 Colors: ['B', 'G', 'R', 'W', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 40 Colors: ['U', 'B', 'G', 'W', 'R'] Fitness: 7 No. Evasions: 8 No. Creatures: 36 No. Spells: 38 No. Bombs 4 No. Lands: 9
Deck no: 32 Colors: ['R', 'W', 'U', 'B', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 38 No. Spells: 37 No. Bombs 5 No. Lands: 7
Deck no: 41 Colors: ['U', 'R', 'W', 'G', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 39 No. Spells: 35 No. Bombs 4 No. Lands: 9
Deck no: 49 Colors: ['W', 'B', 'U', 'G', 'R'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 37 Colors: ['U', 'R', 'W', 'G', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 19 Colors: ['U', 'W', 'B', 'G', 'R'] Fitness: 7 No. Evasions: 9 No. Creatures: 36 No. Spells: 37 No. Bombs 4 No. Lands: 10
Deck no: 36 Colors: ['R', 'W', 'G', 'B', 'U'] Fitness: 7 No. Evasions: 10 No. Creatures: 38 No. Spells: 37 No. Bombs 3 No. Lands: 9
Deck no: 16 Colors: ['G', 'B', 'U', 'R', 'W'] Fitness: 7 No. Evasions: 8 No. Creatures: 38 No. Spells: 36 No. Bombs 4 No. Lands: 9
Deck no: 33 Colors: ['U', 'W', 'R', 'G', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 21 Colors: ['W', 'R', 'G', 'B', 'U'] Fitness: 7 No. Evasions: 8 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 50 Colors: ['G', 'R', 'W', 'U', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 48 Colors: ['W', 'B', 'U', 'R', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 27 Colors: ['W', 'B', 'R', 'U', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 36 No. Bombs 4 No. Lands: 10
Deck no: 47 Colors: ['R', 'G', 'B', 'W', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 45 Colors: ['W', 'G', 'B', 'U', 'R'] Fitness: 7 No. Evasions: 8 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 24 Colors: ['G', 'W', 'R', 'B', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 26 Colors: ['G', 'U', 'W', 'R', 'B'] Fitness: 7 No. Evasions: 8 No. Creatures: 37 No. Spells: 38 No. Bombs 4 No. Lands: 9
Deck no: 34 Colors: ['B', 'W', 'R', 'U', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 42 Colors: ['W', 'G', 'R', 'B', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 38 No. Spells: 38 No. Bombs 4 No. Lands: 7
Deck no: 35 Colors: ['R', 'W', 'G', 'B', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 13 Colors: ['B', 'G', 'W', 'U', 'R'] Fitness: 7 No. Evasions: 8 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 43 Colors: ['U', 'W', 'B', 'G', 'R'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 28 Colors: ['U', 'W', 'G', 'R', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 12 Colors: ['G', 'W', 'R', 'U', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 30 Colors: ['B', 'G', 'U', 'W', 'R'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 376 Colors: ['R', 'U', 'W', 'G', 'B'] Fitness: 2 No. Evasions: 0 No. Creatures: 46 No. Spells: 27 No. Bombs 11 No. Lands: 6
Deck no: 377 Colors: ['B', 'R', 'W', 'U'] Fitness: 5 No. Evasions: 13 No. Creatures: 60 No. Spells: 28 No. Bombs 0 No. Lands: 0
Deck no: 378 Colors: ['R', 'W', 'U', 'G', 'B'] Fitness: 4 No. Evasions: 1 No. Creatures: 32 No. Spells: 48 No. Bombs 0 No. Lands: 9
Deck no: 379 Colors: ['G', 'R', 'U', 'B', 'W'] Fitness: 6 No. Evasions: 5 No. Creatures: 36 No. Spells: 36 No. Bombs 6 No. Lands: 7
Deck no: 380 Colors: ['R', 'U', 'G', 'W', 'B'] Fitness: 5 No. Evasions: 12 No. Creatures: 27 No. Spells: 63 No. Bombs 0 No. Lands: 0
Deck no: 381 Colors: ['R', 'G', 'W', 'U', 'B'] Fitness: 5 No. Evasions: 5 No. Creatures: 24 No. Spells: 43 No. Bombs 8 No. Lands: 10
Deck no: 382 Colors: ['W', 'G', 'U', 'R'] Fitness: 6 No. Evasions: 25 No. Creatures: 41 No. Spells: 32 No. Bombs 0 No. Lands: 14
Deck no: 383 Colors: ['G', 'B', 'U', 'R', 'W'] Fitness: 5 No. Evasions: 5 No. Creatures: 28 No. Spells: 36 No. Bombs 5 No. Lands: 21
Deck no: 384 Colors: ['W', 'G', 'B', 'R', 'U'] Fitness: 2 No. Evasions: 0 No. Creatures: 62 No. Spells: 28 No. Bombs 0 No. Lands: 0
Deck no: 385 Colors: ['G', 'W', 'R', 'B', 'U'] Fitness: 7 No. Evasions: 13 No. Creatures: 45 No. Spells: 43 No. Bombs 0 No. Lands: 2
Deck no: 386 Colors: ['U', 'G', 'W', 'R', 'B'] Fitness: 6 No. Evasions: 5 No. Creatures: 34 No. Spells: 41 No. Bombs 6 No. Lands: 9
Deck no: 387 Colors: ['G', 'R', 'B', 'W', 'U'] Fitness: 6 No. Evasions: 6 No. Creatures: 35 No. Spells: 44 No. Bombs 0 No. Lands: 11
Deck no: 388 Colors: ['W', 'R', 'U', 'B', 'G'] Fitness: 5 No. Evasions: 3 No. Creatures: 25 No. Spells: 45 No. Bombs 0 No. Lands: 17
Deck no: 389 Colors: ['W', 'B', 'G', 'R', 'U'] Fitness: 5 No. Evasions: 4 No. Creatures: 36 No. Spells: 51 No. Bombs 0 No. Lands: 3
Deck no: 390 Colors: ['U', 'W', 'R', 'G', 'B'] Fitness: 5 No. Evasions: 20 No. Creatures: 44 No. Spells: 23 No. Bombs 5 No. Lands: 6
Deck no: 391 Colors: ['B', 'R', 'G', 'U', 'W'] Fitness: 7 No. Evasions: 8 No. Creatures: 42 No. Spells: 36 No. Bombs 0 No. Lands: 9
Deck no: 392 Colors: ['B', 'G', 'R', 'W', 'U'] Fitness: 6 No. Evasions: 10 No. Creatures: 27 No. Spells: 38 No. Bombs 9 No. Lands: 16
Deck no: 393 Colors: ['W', 'R', 'U', 'B', 'G'] Fitness: 5 No. Evasions: 12 No. Creatures: 54 No. Spells: 32 No. Bombs 4 No. Lands: 0
Deck no: 394 Colors: ['R', 'B', 'G', 'W', 'U'] Fitness: 6 No. Evasions: 20 No. Creatures: 30 No. Spells: 60 No. Bombs 0 No. Lands: 0
Deck no: 395 Colors: ['W', 'G', 'B', 'R'] Fitness: 5 No. Evasions: 10 No. Creatures: 44 No. Spells: 27 No. Bombs 13 No. Lands: 6
Deck no: 396 Colors: ['R', 'U', 'B', 'G', 'W'] Fitness: 6 No. Evasions: 21 No. Creatures: 45 No. Spells: 34 No. Bombs 5 No. Lands: 0
Deck no: 397 Colors: ['G', 'B', 'W', 'R', 'U'] Fitness: 5 No. Evasions: 11 No. Creatures: 55 No. Spells: 28 No. Bombs 3 No. Lands: 0
Deck no: 398 Colors: ['G', 'W', 'R', 'U', 'B'] Fitness: 6 No. Evasions: 4 No. Creatures: 37 No. Spells: 39 No. Bombs 11 No. Lands: 3
Deck no: 399 Colors: ['G', 'R', 'U', 'W', 'B'] Fitness: 6 No. Evasions: 11 No. Creatures: 50 No. Spells: 36 No. Bombs 0 No. Lands: 4
Deck no: 400 Colors: ['G', 'B', 'R', 'U', 'W'] Fitness: 6 No. Evasions: 5 No. Creatures: 41 No. Spells: 37 No. Bombs 12 No. Lands: 0
Deck no: 5 Colors: ['R', 'U', 'W', 'B', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 38 No. Spells: 36 No. Bombs 4 No. Lands: 9
Deck no: 6 Colors: ['R', 'U', 'G', 'B', 'W'] Fitness: 7 No. Evasions: 8 No. Creatures: 37 No. Spells: 38 No. Bombs 4 No. Lands: 9
Deck no: 7 Colors: ['W', 'R', 'B', 'U', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 36 No. Spells: 37 No. Bombs 4 No. Lands: 10
Deck no: 1 Colors: ['B', 'G', 'R', 'U', 'W'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 11 Colors: ['B', 'R', 'G', 'U', 'W'] Fitness: 7 No. Evasions: 9 No. Creatures: 38 No. Spells: 36 No. Bombs 3 No. Lands: 10
Deck no: 2 Colors: ['W', 'G', 'U', 'R', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 277 Colors: ['W', 'G', 'U', 'R', 'B'] Fitness: 10 No. Evasions: 15 No. Creatures: 42 No. Spells: 40 No. Bombs 1 No. Lands: 0
Deck no: 25 Colors: ['R', 'B', 'U', 'W', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 36 No. Bombs 4 No. Lands: 10
Deck no: 3 Colors: ['W', 'G', 'B', 'R', 'U'] Fitness: 7 No. Evasions: 8 No. Creatures: 37 No. Spells: 37 No. Bombs 5 No. Lands: 8
Deck no: 235 Colors: ['G', 'R', 'W', 'U'] Fitness: 9 No. Evasions: 14 No. Creatures: 24 No. Spells: 57 No. Bombs 2 No. Lands: 7
Deck no: 238 Colors: ['W', 'R', 'G', 'B', 'U'] Fitness: 8 No. Evasions: 11 No. Creatures: 60 No. Spells: 20 No. Bombs 1 No. Lands: 0
Deck no: 9 Colors: ['U', 'R', 'B', 'G', 'W'] Fitness: 7 No. Evasions: 10 No. Creatures: 37 No. Spells: 37 No. Bombs 3 No. Lands: 10
Deck no: 15 Colors: ['B', 'G', 'R', 'W', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 17 Colors: ['W', 'R', 'U', 'B', 'G'] Fitness: 7 No. Evasions: 8 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 341 Colors: ['B', 'W', 'G', 'R', 'U'] Fitness: 10 No. Evasions: 7 No. Creatures: 25 No. Spells: 44 No. Bombs 2 No. Lands: 19
Deck no: 8 Colors: ['U', 'R', 'G', 'W', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 20 Colors: ['R', 'U', 'B', 'G', 'W'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 307 Colors: ['R', 'G', 'W', 'U', 'B'] Fitness: 7 No. Evasions: 18 No. Creatures: 41 No. Spells: 39 No. Bombs 3 No. Lands: 0
Deck no: 4 Colors: ['R', 'B', 'W', 'G', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 243 Colors: ['W', 'G', 'B', 'R', 'U'] Fitness: 10 No. Evasions: 17 No. Creatures: 43 No. Spells: 34 No. Bombs 2 No. Lands: 3
Deck no: 10 Colors: ['B', 'U', 'G', 'W', 'R'] Fitness: 7 No. Evasions: 9 No. Creatures: 38 No. Spells: 36 No. Bombs 4 No. Lands: 9
Deck no: 18 Colors: ['W', 'U', 'R', 'B', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 22 Colors: ['G', 'U', 'W', 'R', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 14 Colors: ['B', 'G', 'W', 'U', 'R'] Fitness: 7 No. Evasions: 9 No. Creatures: 38 No. Spells: 36 No. Bombs 4 No. Lands: 9
Deck no: 23 Colors: ['B', 'W', 'G', 'R', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 38 No. Spells: 36 No. Bombs 4 No. Lands: 9
Deck no: 16 Colors: ['G', 'B', 'U', 'R', 'W'] Fitness: 7 No. Evasions: 8 No. Creatures: 38 No. Spells: 36 No. Bombs 4 No. Lands: 9
Deck no: 27 Colors: ['W', 'B', 'R', 'U', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 36 No. Bombs 4 No. Lands: 10
Deck no: 30 Colors: ['B', 'G', 'U', 'W', 'R'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 47 Colors: ['R', 'G', 'B', 'W', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 21 Colors: ['W', 'R', 'G', 'B', 'U'] Fitness: 7 No. Evasions: 8 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 49 Colors: ['W', 'B', 'U', 'G', 'R'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 35 Colors: ['R', 'W', 'G', 'B', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 40 Colors: ['U', 'B', 'G', 'W', 'R'] Fitness: 7 No. Evasions: 8 No. Creatures: 36 No. Spells: 38 No. Bombs 4 No. Lands: 9
Deck no: 41 Colors: ['U', 'R', 'W', 'G', 'B'] Fitness: 7 No. Evasions: 8 No. Creatures: 39 No. Spells: 35 No. Bombs 5 No. Lands: 9
Deck no: 45 Colors: ['W', 'G', 'B', 'U', 'R'] Fitness: 7 No. Evasions: 8 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 32 Colors: ['R', 'W', 'U', 'B', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 38 No. Spells: 37 No. Bombs 5 No. Lands: 7
Deck no: 37 Colors: ['U', 'R', 'W', 'G', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 12 Colors: ['G', 'W', 'R', 'U', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 19 Colors: ['U', 'W', 'B', 'G', 'R'] Fitness: 7 No. Evasions: 9 No. Creatures: 36 No. Spells: 37 No. Bombs 4 No. Lands: 10
Deck no: 43 Colors: ['U', 'W', 'B', 'G', 'R'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 34 Colors: ['B', 'W', 'R', 'U', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 42 Colors: ['W', 'G', 'R', 'B', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 38 No. Spells: 38 No. Bombs 4 No. Lands: 7
Deck no: 24 Colors: ['G', 'W', 'R', 'B', 'U'] Fitness: 7 No. Evasions: 10 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 48 Colors: ['W', 'B', 'U', 'R', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 36 Colors: ['R', 'W', 'G', 'B', 'U'] Fitness: 7 No. Evasions: 10 No. Creatures: 38 No. Spells: 37 No. Bombs 3 No. Lands: 9
Deck no: 26 Colors: ['G', 'U', 'W', 'R', 'B'] Fitness: 7 No. Evasions: 8 No. Creatures: 37 No. Spells: 38 No. Bombs 4 No. Lands: 9
Deck no: 50 Colors: ['G', 'R', 'W', 'U', 'B'] Fitness: 7 No. Evasions: 10 No. Creatures: 37 No. Spells: 36 No. Bombs 4 No. Lands: 9
Deck no: 13 Colors: ['B', 'G', 'W', 'U', 'R'] Fitness: 7 No. Evasions: 8 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 28 Colors: ['U', 'W', 'G', 'R', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 33 Colors: ['U', 'W', 'R', 'G', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 401 Colors: ['B', 'G', 'R', 'W', 'U'] Fitness: 6 No. Evasions: 5 No. Creatures: 40 No. Spells: 35 No. Bombs 5 No. Lands: 10
Deck no: 402 Colors: ['G', 'B', 'U', 'R', 'W'] Fitness: 5 No. Evasions: 5 No. Creatures: 36 No. Spells: 46 No. Bombs 0 No. Lands: 8
Deck no: 403 Colors: ['R', 'G', 'W', 'B', 'U'] Fitness: 5 No. Evasions: 9 No. Creatures: 54 No. Spells: 31 No. Bombs 5 No. Lands: 0
Deck no: 404 Colors: ['B', 'G', 'R', 'W', 'U'] Fitness: 6 No. Evasions: 5 No. Creatures: 39 No. Spells: 41 No. Bombs 0 No. Lands: 5
Deck no: 405 Colors: ['W', 'U', 'R', 'B', 'G'] Fitness: 7 No. Evasions: 17 No. Creatures: 41 No. Spells: 44 No. Bombs 0 No. Lands: 5
Deck no: 406 Colors: ['G', 'U', 'W', 'R', 'B'] Fitness: 4 No. Evasions: 3 No. Creatures: 24 No. Spells: 51 No. Bombs 11 No. Lands: 4
Deck no: 407 Colors: ['U', 'R', 'W', 'G'] Fitness: 6 No. Evasions: 23 No. Creatures: 25 No. Spells: 48 No. Bombs 6 No. Lands: 5
Deck no: 408 Colors: ['U', 'W', 'B', 'G', 'R'] Fitness: 2 No. Evasions: 0 No. Creatures: 49 No. Spells: 22 No. Bombs 9 No. Lands: 10
Deck no: 409 Colors: ['B', 'G', 'R', 'W', 'U'] Fitness: 5 No. Evasions: 4 No. Creatures: 32 No. Spells: 53 No. Bombs 0 No. Lands: 5
Deck no: 410 Colors: ['G', 'R', 'B', 'U', 'W'] Fitness: 5 No. Evasions: 21 No. Creatures: 54 No. Spells: 25 No. Bombs 0 No. Lands: 5
Deck no: 411 Colors: ['R', 'B', 'U', 'G', 'W'] Fitness: 5 No. Evasions: 8 No. Creatures: 79 No. Spells: 6 No. Bombs 0 No. Lands: 0
Deck no: 412 Colors: ['W', 'R', 'B', 'G', 'U'] Fitness: 6 No. Evasions: 9 No. Creatures: 47 No. Spells: 34 No. Bombs 0 No. Lands: 9
Deck no: 413 Colors: ['W', 'U', 'R', 'G', 'B'] Fitness: 6 No. Evasions: 16 No. Creatures: 28 No. Spells: 50 No. Bombs 9 No. Lands: 3
Deck no: 414 Colors: ['R', 'U', 'W', 'G', 'B'] Fitness: 2 No. Evasions: 0 No. Creatures: 51 No. Spells: 23 No. Bombs 4 No. Lands: 12
Deck no: 415 Colors: ['B', 'G', 'R', 'W', 'U'] Fitness: 5 No. Evasions: 14 No. Creatures: 49 No. Spells: 28 No. Bombs 0 No. Lands: 13
Deck no: 416 Colors: ['W', 'U', 'B', 'R', 'G'] Fitness: 7 No. Evasions: 11 No. Creatures: 36 No. Spells: 41 No. Bombs 6 No. Lands: 1
Deck no: 417 Colors: ['R', 'B', 'W', 'U', 'G'] Fitness: 7 No. Evasions: 22 No. Creatures: 38 No. Spells: 43 No. Bombs 0 No. Lands: 0
Deck no: 418 Colors: ['G', 'U', 'W', 'R', 'B'] Fitness: 4 No. Evasions: 1 No. Creatures: 45 No. Spells: 34 No. Bombs 0 No. Lands: 11
Deck no: 419 Colors: ['G', 'B', 'W', 'U', 'R'] Fitness: 5 No. Evasions: 10 No. Creatures: 56 No. Spells: 20 No. Bombs 5 No. Lands: 9
Deck no: 420 Colors: ['W', 'G', 'R', 'B', 'U'] Fitness: 5 No. Evasions: 14 No. Creatures: 52 No. Spells: 13 No. Bombs 0 No. Lands: 22
Deck no: 421 Colors: ['R', 'U', 'W', 'G', 'B'] Fitness: 4 No. Evasions: 5 No. Creatures: 18 No. Spells: 45 No. Bombs 15 No. Lands: 7
Deck no: 422 Colors: ['R', 'G', 'U', 'B', 'W'] Fitness: 7 No. Evasions: 16 No. Creatures: 42 No. Spells: 35 No. Bombs 0 No. Lands: 13
Deck no: 423 Colors: ['W', 'G', 'B', 'U', 'R'] Fitness: 6 No. Evasions: 14 No. Creatures: 45 No. Spells: 33 No. Bombs 8 No. Lands: 0
Deck no: 424 Colors: ['U', 'R', 'W', 'G', 'B'] Fitness: 4 No. Evasions: 4 No. Creatures: 11 No. Spells: 51 No. Bombs 8 No. Lands: 17
Deck no: 425 Colors: ['G', 'W', 'R', 'U', 'B'] Fitness: 5 No. Evasions: 8 No. Creatures: 57 No. Spells: 28 No. Bombs 5 No. Lands: 0
Deck no: 23 Colors: ['B', 'W', 'G', 'R', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 38 No. Spells: 36 No. Bombs 4 No. Lands: 9
Deck no: 25 Colors: ['R', 'B', 'U', 'W', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 36 No. Bombs 4 No. Lands: 10
Deck no: 14 Colors: ['B', 'G', 'W', 'U', 'R'] Fitness: 7 No. Evasions: 9 No. Creatures: 38 No. Spells: 36 No. Bombs 4 No. Lands: 9
Deck no: 1 Colors: ['B', 'G', 'R', 'U', 'W'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 18 Colors: ['W', 'U', 'R', 'B', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 4 Colors: ['R', 'B', 'W', 'G', 'U'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 22 Colors: ['G', 'U', 'W', 'R', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 235 Colors: ['G', 'R', 'W', 'U'] Fitness: 9 No. Evasions: 14 No. Creatures: 24 No. Spells: 57 No. Bombs 2 No. Lands: 7
Deck no: 17 Colors: ['W', 'R', 'U', 'B', 'G'] Fitness: 7 No. Evasions: 8 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 9 Colors: ['U', 'R', 'B', 'G', 'W'] Fitness: 7 No. Evasions: 10 No. Creatures: 37 No. Spells: 37 No. Bombs 3 No. Lands: 10
Deck no: 5 Colors: ['R', 'U', 'W', 'B', 'G'] Fitness: 7 No. Evasions: 9 No. Creatures: 38 No. Spells: 37 No. Bombs 4 No. Lands: 8
Deck no: 307 Colors: ['R', 'G', 'W', 'U', 'B'] Fitness: 7 No. Evasions: 18 No. Creatures: 41 No. Spells: 39 No. Bombs 3 No. Lands: 0
Deck no: 10 Colors: ['B', 'U', 'G', 'W', 'R'] Fitness: 7 No. Evasions: 9 No. Creatures: 38 No. Spells: 36 No. Bombs 4 No. Lands: 9
Deck no: 2 Colors: ['W', 'G', 'U', 'R', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
Deck no: 8 Colors: ['U', 'R', 'G', 'W', 'B'] Fitness: 7 No. Evasions: 9 No. Creatures: 37 No. Spells: 37 No. Bombs 4 No. Lands: 9
